['city', 'AQI', 'PM2.5/1h', 'PM10/1h', 'CO/1h', 'NO2/1h', 'O3/1h', 'O3/8h', 'SO2/1h']
['上海', '82', '60', '68', '0.58', '37', '66', '136', '8']
['铁岭', '83', '30', '66', '0.48', '21', '120', '138', '11']
['白山', '84', '52', '75', '1.0', '10', '143', '139', '10']
['临汾', '84', '54', '115', '1.29', '33', '115', '129', '33']
['枣庄', '84', '47', '108', '0.68', '42', '90', '139', '9']
['铜川', '85', '44', '106', '1.0', '56', '67', '140', '14']
['莱西', '86', '38', '63', '0.55', '14', '121', '141', '8']
['乐山', '86', '45', '90', '0.7', '62', '102', '142', '8']
['日照', '86', '46', '78', '0.6', '36', '92', '142', '14']
['荣成', '86', '36', '37', '0.85', '10', '119', '141', '10']
['绍兴', '86', '35', '93', '0.59', '5', '115', '142', '4']
['双鸭山', '86', '43', '84', '1.33', '28', '110', '142', '22']
['宿州', '86', '63', '106', '0.73', '51', '82', '137', '9']
['天津', '86', '42', '110', '1.14', '43', '119', '142', '16']
['天水', '86', '38', '80', '0.53', '24', '130', '142', '8']
['安康', '87', '47', '121', '0.77', '14', '72', '120', '8']
['重庆', '88', '32', '72', '1.01', '84', '80', '144', '11']
['大同', '88', '53', '123', '1.13', '44', '107', '139', '24']
['嘉兴', '88', '50', '72', '1.23', '31', '68', '144', '11']
['吉林', '88', '60', '107', '0.99', '15', '126', '144', '8']
['石家庄', '88', '48', '110', '0.84', '30', '91', '144', '23']
['遂宁', '89', '37', '110', '1.05', '93', '38', '145', '11']
['西宁', '89', '32', '125', '0.83', '62', '47', '113', '14']
['包头', '90', '33', '92', '0.65', '39', '108', '146', '11']
['兰州', '90', '49', '128', '0.98', '55', '71', '137', '6']
['乳山', '90', '15', '33', '0.6', '7', '124', '146', '6']
['榆林', '90', '49', '105', '0.98', '31', '110', '146', '8']
['安阳', '91', '38', '79', '1.16', '21', '99', '148', '10']
['邯郸', '91', '34', '89', '0.68', '13', '117', '148', '8']
['汉中', '91', '67', '127', '0.77', '39', '72', '130', '8']
['江阴', '91', '60', '97', '1.0', '50', '90', '147', '14']
['襄阳', '91', '33', '70', '0.88', '9', '103', '147', '7']
['伊春', '91', '49', '89', '0.67', '11', '128', '147', '7']
['营口', '91', '40', '77', '0.68', '16', '140', '147', '6']
['郑州', '91', '56', '95', '1.06', '31', '99', '147', '9']
['中卫', '91', '31', '88', '0.6', '19', '127', '148', '9']
['喀什地区', '92', '39', '132', '0.6', '19', '98', '103', '10']
['陇南', '92', '46', '61', '0.6', '10', '149', '149', '13']
['扬州', '92', '55', '131', '1.13', '63', '81', '135', '16']
['阿里地区', '93', '56', '134', '0.4', '10', '96', '105', '7']
['海东地区', '93', '38', '134', '1.0', '109', '5', '101', '19']
['句容', '93', '60', '93', '1.65', '31', '152', '150', '8']
['青岛', '93', '37', '64', '0.48', '14', '133', '150', '4']
['三门峡', '93', '58', '102', '0.93', '18', '130', '150', '13']
['镇江', '93', '63', '94', '1.02', '49', '96', '150', '10']
['固原', '94', '44', '135', '0.57', '41', '66', '119', '7']
['胶南', '94', '32', '53', '0.6', '18', '127', '151', '5']
['临沂', '94', '52', '121', '2.35', '39', '119', '151', '17']
['那曲地区', '94', '51', '136', '0.8', '13', '66', '76', '4']
['吴江', '94', '49', '90', '0.83', '33', '86', '151', '9']
['无锡', '94', '41', '78', '0.74', '36', '105', '151', '9']
['延安', '94', '62', '136', '1.33', '85', '40', '129', '10']
['阿拉善盟', '95', '41', '83', '0.5', '10', '158', '152', '9']
['莱州', '95', '30', '107', '0.8', '15', '124', '152', '11']
