['city', 'AQI', 'PM2.5/1h', 'PM10/1h', 'CO/1h', 'NO2/1h', 'O3/1h', 'O3/8h', 'SO2/1h']
['淮南', '82', '53', '75', '0.77', '17', '137', '137', '13']
['临沂', '82', '45', '111', '1.33', '34', '130', '55', '30']
['莆田', '82', '60', '74', '0.8', '27', '61', '37', '10']
['无锡', '82', '60', '98', '1.01', '37', '118', '80', '12']
['合肥', '83', '61', '90', '1.0', '21', '108', '80', '7']
['克州', '83', '2', '50', '0.6', '5', '139', '138', '3']
['上海', '83', '61', '67', '0.98', '32', '155', '99', '14']
['银川', '83', '33', '114', '0.69', '26', '106', '106', '25']
['白山', '84', '54', '116', '1.05', '25', '112', '37', '9']
['长治', '84', '46', '115', '0.52', '19', '124', '124', '13']
['巴彦淖尔', '85', '42', '117', '0.5', '13', '115', '72', '6']
['滨州', '85', '51', '118', '1.43', '18', '165', '84', '21']
['杭州', '85', '62', '100', '1.28', '45', '110', '37', '10']
['黄石', '85', '62', '91', '1.18', '26', '85', '75', '21']
['济南', '85', '33', '118', '0.65', '18', '156', '139', '13']
['金坛', '85', '53', '118', '1.7', '29', '129', '88', '17']
['莱西', '85', '62', '100', '0.8', '14', '0', '94', '9']
['秦皇岛', '85', '56', '117', '1.14', '34', '80', '80', '17']
['临安', '86', '63', '81', '1.15', '21', '97', '51', '9']
['潍坊', '86', '56', '119', '0.64', '27', '142', '142', '12']
['盐城', '86', '63', '90', '1.26', '24', '131', '131', '14']
['白银', '87', '46', '122', '0.85', '26', '83', '58', '123']
['黄冈', '87', '64', '110', '1.3', '22', '94', '94', '21']
['乐山', '87', '64', '104', '0.8', '49', '63', '30', '20']
['平凉', '87', '46', '121', '0.4', '24', '110', '26', '17']
['三门峡', '87', '45', '122', '0.8', '26', '83', '83', '23']
['绥化', '87', '64', '116', '0.9', '15', '130', '94', '9']
['宿迁', '87', '64', '73', '1.2', '19', '138', '138', '14']
['孝感', '87', '64', '104', '1.15', '18', '89', '31', '11']
['阜新', '88', '65', '117', '0.9', '17', '109', '132', '11']
['辽阳', '88', '19', '48', '0.73', '11', '115', '144', '11']
['铁岭', '88', '47', '123', '0.75', '22', '139', '142', '13']
['徐州', '88', '65', '104', '1.29', '23', '124', '124', '19']
['扬州', '88', '63', '123', '1.23', '36', '115', '115', '20']
['烟台', '88', '32', '92', '0.63', '14', '144', '144', '10']
['榆林', '88', '44', '124', '0.93', '18', '141', '110', '12']
['淄博', '88', '46', '124', '1.13', '17', '156', '122', '20']
['兰州', '89', '53', '126', '0.98', '61', '166', '50', '25']
['辽源', '89', '37', '62', '0.75', '17', '190', '129', '6']
['临汾', '89', '55', '126', '1.25', '35', '98', '87', '39']
['威海', '89', '34', '75', '0.67', '14', '178', '145', '8']
['温州', '89', '66', '104', '1.02', '24', '125', '90', '9']
['吕梁', '90', '63', '128', '1.9', '46', '81', '23', '29']
['齐齐哈尔', '90', '38', '128', '0.92', '18', '120', '101', '12']
['营口', '90', '31', '58', '0.73', '18', '124', '146', '7']
['章丘', '90', '57', '127', '0.55', '13', '153', '133', '19']
['大庆', '91', '50', '130', '0.9', '19', '143', '112', '12']
['抚顺', '91', '42', '83', '0.92', '20', '141', '147', '15']
['焦作', '91', '52', '130', '1.38', '42', '85', '60', '26']
['即墨', '92', '68', '120', '1.55', '28', '155', '130', '11']
['句容', '92', '68', '113', '1.6', '31', '112', '61', '10']
['唐山', '92', '53', '132', '1.62', '55', '80', '42', '34']
['张家港', '92', '40', '132', '0.75', '33', '112', '59', '14']
['南京', '93', '69', '106', '1.13', '36', '107', '73', '12']
['泰州', '93', '69', '113', '1.25', '39', '122', '122', '14']
['运城', '93', '42', '134', '0.74', '28', '109', '67', '10']
['自贡', '93', '69', '116', '0.98', '49', '74', '74', '17']
['东营', '94', '58', '136', '1.1', '20', '146', '146', '38']
['江阴', '94', '70', '107', '1.3', '54', '103', '76', '15']
['莱州', '95', '43', '137', '0.85', '18', '124', '105', '16']
['鄂州', '96', '71', '118', '1.3', '37', '90', '30', '16']
['金昌', '96', '40', '139', '0.23', '8', '90', '51', '3']
['漳州', '97', '72', '117', '1.03', '39', '74', '74', '11']
['宿州', '98', '73', '87', '0.7', '30', '128', '83', '9']
['宜兴', '98', '73', '123', '1.25', '24', '113', '79', '16']
['嘉峪关', '99', '32', '145', '1.5', '35', '87', '76', '62']
['镇江', '99', '74', '122', '1.0', '23', '120', '68', '6']
['哈尔滨', '100', '31', '131', '0.74', '21', '159', '159', '12']
['海东地区', '100', '44', '148', '1.5', '50', '41', '41', '61']
['淮安', '100', '75', '134', '1.34', '30', '149', '81', '13']
['晋中', '100', '44', '149', '1.05', '34', '130', '52', '36']
['酒泉', '100', '21', '147', '0.4', '6', '106', '94', '8']
['日照', '100', '75', '99', '1.13', '33', '88', '50', '13']
['石嘴山', '100', '54', '149', '1.4', '26', '120', '71', '36']
['宝鸡', '101', '54', '150', '1.24', '54', '77', '33', '28']
['莱芜', '102', '39', '91', '0.83', '14', '161', '161', '14']
['果洛州', '103', '41', '154', '0.9', '38', '54', '25', '111']
['湖州', '103', '76', '113', '1.37', '55', '85', '81', '23']
['渭南', '103', '37', '153', '0.85', '41', '80', '26', '22']
['乌兰察布', '103', '47', '113', '0.45', '18', '162', '162', '25']
['咸阳', '104', '49', '156', '0.97', '48', '74', '23', '30']
['滁州', '105', '78', '139', '1.6', '38', '127', '72', '30']
['南充', '105', '78', '120', '0.92', '24', '96', '60', '6']
['西安', '105', '50', '157', '1.22', '72', '47', '21', '16']
['达州', '106', '79', '118', '0.94', '39', '87', '58', '13']
['胶南', '106', '79', '95', '1.15', '27', '115', '80', '10']
['赤峰', '108', '76', '164', '0.45', '33', '142', '142', '8']
['荆州', '109', '81', '108', '1.27', '19', '87', '53', '15']
['鄂尔多斯', '110', '51', '167', '0.8', '26', '150', '99', '20']
['甘南州', '110', '40', '168', '0.7', '32', '51', '18', '12']
['四平', '110', '52', '168', '0.77', '15', '164', '151', '7']
['西宁', '110', '54', '167', '2.48', '39', '53', '53', '58']
['延安', '112', '50', '171', '1.53', '70', '81', '21', '19']
['通辽', '113', '84', '152', '0.83', '21', '174', '157', '14']
['承德', '114', '63', '175', '1.34', '27', '169', '107', '16']
['葫芦岛', '114', '85', '102', '1.27', '21', '88', '105', '8']
['荆门', '114', '85', '134', '1.34', '31', '47', '47', '9']
['廊坊', '114', '85', '168', '1.53', '44', '91', '91', '16']
['成都', '115', '86', '146', '1.13', '74', '88', '91', '24']
['襄阳', '116', '87', '112', '1.1', '22', '63', '70', '12']
['张家口', '116', '61', '179', '1.2', '34', '150', '150', '23']
['包头', '117', '56', '182', '0.78', '39', '111', '45', '28']
['连云港', '117', '88', '34', '1.14', '22', '110', '110', '11']
['锦州', '119', '89', '132', '1.16', '27', '79', '106', '28']
['忻州', '121', '82', '190', '1.13', '53', '94', '38', '73']
['松原', '123', '42', '193', '0.85', '12', '179', '145', '8']
['保定', '125', '94', '178', '0.92', '43', '137', '55', '20']
['朝阳', '125', '94', '167', '1.58', '17', '180', '158', '16']
['白城', '130', '74', '207', '0.95', '15', '165', '135', '18']
['邢台', '130', '85', '208', '2.45', '60', '85', '43', '75']
['阳泉', '136', '92', '220', '1.37', '59', '101', '52', '54']
['呼和浩特', '139', '69', '225', '0.99', '48', '95', '26', '27']
['太原', '140', '71', '227', '1.21', '63', '101', '101', '42']
['朔州', '150', '98', '248', '0.82', '34', '115', '78', '30']
['乌海', '152', '58', '252', '1.07', '38', '120', '82', '90']
['那曲地区', '153', '96', '254', '0.97', '13', '55', '54', '7']
['武威', '156', '104', '259', '1.25', '73', '59', '26', '7']
['阿克苏地区', '157', '69', '261', '1.05', '53', '30', '80', '17']
['石家庄', '160', '121', '231', '1.31', '29', '137', '70', '29']
['大同', '167', '113', '281', '1.6', '59', '82', '82', '89']
['和田地区', '184', '127', '316', '0.35', '18', '77', '83', '34']
['北京', '195', '146', '178', '1.56', '47', '94', '50', '11']
['吐鲁番地区', '473', '113', '572', '0.0', '29', '30', '31', '9']
